title,mechanisms
Chinatown,"Contracts, Open Drafting, Race, Set Collection"
Nemo's War (Second Edition),"Contracts, Open Drafting, Race, Set Collection"
Civolution,"Contracts, Open Drafting, Race, Set Collection"
Fury of Dracula (Third/Fourth Edition),"Contracts, Open Drafting, Race, Set Collection"
Bruges,"Contracts, Open Drafting, Race, Set Collection"
Heaven & Ale,"Contracts, Open Drafting, Race, Set Collection"
The Guild of Merchant Explorers,"Contracts, Open Drafting, Race, Set Collection"
Imperial 2030,"Contracts, Open Drafting, Race, Set Collection"
Tiny Epic Galaxies,"Contracts, Open Drafting, Race, Set Collection"
Project L,"Contracts, Open Drafting, Race, Set Collection"
Nusfjord,"Contracts, Open Drafting, Race, Set Collection"
Awkward Guests: The Walton Case,"Contracts, Open Drafting, Race, Set Collection"
Summoner Wars: Master Set,"Contracts, Open Drafting, Race, Set Collection"
Destinies,"Contracts, Open Drafting, Race, Set Collection"
Pax Renaissance: 2nd Edition,"Contracts, Open Drafting, Race, Set Collection"
Flamecraft,"Contracts, Open Drafting, Race, Set Collection"
EXIT: The Game – The Abandoned Cabin,"Contracts, Open Drafting, Race, Set Collection"
Alien Frontiers,"Contracts, Open Drafting, Race, Set Collection"
Raiders of Scythia,"Contracts, Open Drafting, Race, Set Collection"
Runewars,"Contracts, Open Drafting, Race, Set Collection"
Small World,"Contracts, Open Drafting, Race, Set Collection"
Dune: War for Arrakis,"Contracts, Open Drafting, Race, Set Collection"
Sidereal Confluence,"Contracts, Open Drafting, Race, Set Collection"
Marrakesh,"Contracts, Open Drafting, Race, Set Collection"
Innovation,"Contracts, Open Drafting, Race, Set Collection"
Marvel United: X-Men,"Contracts, Open Drafting, Race, Set Collection"
Burgle Bros.,"Contracts, Open Drafting, Race, Set Collection"
Unconscious Mind,"Contracts, Open Drafting, Race, Set Collection"
Merchants & Marauders,"Contracts, Open Drafting, Race, Set Collection"
Frostpunk: The Board Game,"Contracts, Open Drafting, Race, Set Collection"
Above and Below,"Contracts, Open Drafting, Race, Set Collection"
Neuroshima Hex,"Contracts, Open Drafting, Race, Set Collection"
The Fellowship of the Ring: Trick-Taking Game,"Contracts, Open Drafting, Race, Set Collection"
Furnace,"Contracts, Open Drafting, Race, Set Collection"
Bonfire,"Contracts, Open Drafting, Race, Set Collection"
Mindbug: First Contact,"Contracts, Open Drafting, Race, Set Collection"
Expeditions,"Contracts, Open Drafting, Race, Set Collection"
Dead of Winter: The Long Night,"Contracts, Open Drafting, Race, Set Collection"
Dead Reckoning,"Contracts, Open Drafting, Race, Set Collection"
The Vale of Eternity,"Contracts, Open Drafting, Race, Set Collection"
Bärenpark,"Contracts, Open Drafting, Race, Set Collection"
Antiquity,"Contracts, Open Drafting, Race, Set Collection"
Arboretum,"Contracts, Open Drafting, Race, Set Collection"
Mission: Red Planet (Second/Third Edition),"Contracts, Open Drafting, Race, Set Collection"
Dixit,"Contracts, Open Drafting, Race, Set Collection"
Sid Meier's Civilization: The Board Game,"Contracts, Open Drafting, Race, Set Collection"
Gizmos,"Contracts, Open Drafting, Race, Set Collection"
Letters from Whitechapel,"Contracts, Open Drafting, Race, Set Collection"
Tekhenu: Obelisk of the Sun,"Contracts, Open Drafting, Race, Set Collection"
Ginkgopolis,"Contracts, Open Drafting, Race, Set Collection"
Dungeon Lords,"Contracts, Open Drafting, Race, Set Collection"
"Air, Land, & Sea","Contracts, Open Drafting, Race, Set Collection"
Harry Potter: Hogwarts Battle,"Contracts, Open Drafting, Race, Set Collection"
Bomb Busters,"Contracts, Open Drafting, Race, Set Collection"
Unmatched: Robin Hood vs. Bigfoot,"Contracts, Open Drafting, Race, Set Collection"
Takenoko,"Contracts, Open Drafting, Race, Set Collection"
Keep the Heroes Out!,"Contracts, Open Drafting, Race, Set Collection"
BattleLore: Second Edition,"Contracts, Open Drafting, Race, Set Collection"
Maria,"Contracts, Open Drafting, Race, Set Collection"
